,Trial,Distance,Angular Velocity,Angle
0,1,2.3,2263.18,59.0
1,2,2.3939999999999997,2272.73,58.0
2,3,2.488,2291.83,57.0
3,4,2.582,2310.93,56.0
4,5,2.6759999999999997,2330.03,55.0
5,6,2.7699999999999996,2349.13,54.0
6,7,2.864,2377.77,53.0
7,8,2.9579999999999997,2396.87,52.0
8,9,3.0519999999999996,2425.52,51.0
9,10,3.146,2444.62,50.0
10,11,3.2399999999999998,2473.27,49.0
11,12,3.3339999999999996,2473.27,49.0
12,13,3.428,2501.92,48.0
13,14,3.522,2521.01,47.0
14,15,3.6159999999999997,2549.66,46.0
15,16,3.71,2549.66,46.0
16,17,3.804,2587.86,45.0
17,18,3.8979999999999997,2616.51,44.0
18,19,3.992,2616.51,44.0
19,20,4.086,2645.16,43.0
20,21,4.18,2683.35,42.0
21,22,4.274,2683.35,42.0
22,23,4.368,2712.0,41.0
23,24,4.462,2750.2,40.0
24,25,4.556,2750.2,40.0
25,26,4.65,2788.39,39.0
26,27,4.744,2797.94,39.0
27,28,4.837999999999999,2826.59,38.0
28,29,4.932,2864.79,37.0
29,30,5.026,2864.79,37.0
30,31,5.119999999999999,2912.54,36.0
31,32,5.214,2912.54,36.0
32,33,5.308,2950.73,35.0
33,34,5.401999999999999,2950.73,35.0
34,35,5.496,2998.48,34.0
35,36,5.59,2998.48,34.0
36,37,5.683999999999999,3036.68,33.0
37,38,5.7780000000000005,3036.68,33.0
38,39,5.872,3084.42,32.0
39,40,5.965999999999999,3084.42,32.0
40,41,6.06,3132.17,31.0
41,42,6.154,3132.17,31.0
42,43,6.247999999999999,3189.47,30.0
43,44,6.342,3189.47,30.0
44,45,6.436,3237.21,29.0
45,48,6.718,3237.21,29.0
46,49,6.812,3294.51,28.0
47,50,6.906,3294.51,28.0
