,Trial,Distance,Angular Velocity,Angle
0,1,2.3,2158.1410283261007,59.99999999999999
1,2,2.3939999999999997,2177.239621497128,58.0
2,3,2.488,2186.788918082642,58.0
3,4,2.582,2205.8875112536693,57.0
4,5,2.6759999999999997,2215.436807839183,57.0
5,6,2.7699999999999996,2234.5354010102105,56.0
6,7,2.864,2244.0846975957243,56.0
7,8,2.9579999999999997,2263.1832907667517,55.0
8,9,3.0519999999999996,2272.7325873522655,55.0
9,10,3.146,2291.831180523293,54.0
10,11,3.2399999999999998,2310.9297736943204,53.0
11,12,3.3339999999999996,2320.479070279834,53.0
12,13,3.428,2339.5776634508616,52.00000000000001
13,14,3.522,2358.676256621889,51.0
14,15,3.6159999999999997,2368.2255532074028,52.00000000000001
15,16,3.71,2387.32414637843,51.0
16,17,3.804,2406.4227395494577,50.0
17,18,3.8979999999999997,2415.9720361349714,50.0
18,19,3.992,2435.070629305999,49.0
19,20,4.086,2454.1692224770263,48.0
20,21,4.18,2463.71851906254,49.0
21,22,4.274,2482.8171122335675,48.0
22,23,4.368,2501.915705404595,47.0
23,24,4.462,2511.4650019901087,48.0
24,25,4.556,2530.563595161136,47.0
25,26,4.65,2540.1128917466494,47.0
26,27,4.744,2559.211484917677,46.0
27,28,4.837999999999999,2578.3100780887044,45.0
28,29,4.932,2587.859374674218,47.0
29,30,5.026,2606.9579678452455,45.0
30,31,5.119999999999999,2626.056561016273,43.99999999999999
31,32,5.214,2645.1551541873005,43.99999999999999
32,33,5.308,2654.704450772814,43.99999999999999
33,34,5.401999999999999,2673.8030439438417,43.99999999999999
34,35,5.496,2692.901637114869,43.0
35,36,5.59,2702.450933700383,43.99999999999999
36,37,5.683999999999999,2721.5495268714103,42.0
37,38,5.7780000000000005,2731.098823456924,43.0
38,39,5.872,2750.1974166279515,43.0
39,40,5.965999999999999,2769.296009798979,41.0
40,41,6.06,2778.8453063844927,42.0
41,42,6.154,2797.94389955552,42.0
42,43,6.247999999999999,2817.0424927265476,43.99999999999999
43,44,6.342,2826.5917893120613,41.0
44,45,6.436,2845.690382483089,40.0
45,46,6.53,2864.7889756541163,40.0
46,47,6.624,2874.33827223963,41.0
47,48,6.718,2893.4368654106574,40.0
48,49,6.812,2931.6340517527124,37.0
49,50,6.906,2922.0847551671986,40.0
