,Trial,Distance,Angular Velocity,Angle
0,1,2.3,2158.1,60.0
1,2,2.4566666666666666,2186.8,58.0
2,3,2.6133333333333333,2205.9,58.0
3,4,2.77,2234.5,56.0
4,5,2.9266666666666667,2253.6,56.0
5,6,3.083333333333333,2282.3,54.0
6,7,3.2399999999999998,2310.9,53.0
7,8,3.3966666666666665,2330.0,53.0
8,9,3.5533333333333332,2358.7,52.0
9,10,3.71,2387.3,51.0
10,11,3.8666666666666667,2416.0,49.0
11,12,4.023333333333333,2435.1,51.0
12,13,4.18,2463.7,49.0
13,14,4.336666666666666,2492.4,48.0
14,15,4.493333333333333,2521.0,47.0
15,16,4.65,2540.1,47.0
16,17,4.806666666666667,2568.8,46.0
17,18,4.963333333333333,2597.4,46.0
18,19,5.12,2626.1,44.0
19,20,5.276666666666667,2654.7,44.0
20,21,5.433333333333334,2673.8,45.0
21,22,5.59,2702.5,44.0
22,23,5.746666666666666,2731.1,43.0
23,24,5.903333333333333,2759.7,42.0
24,25,6.0600000000000005,2778.8,42.0
25,26,6.216666666666667,2807.5,41.0
26,27,6.373333333333333,2836.1,41.0
27,28,6.53,2864.8,40.0
28,29,6.6866666666666665,2883.9,40.0
29,30,6.843333333333334,2912.5,40.0
